epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,254.339,0.51272,0.65799,0.95255,0.85174,0.34175,0.30063,0.24886,0.62868,2.72886,1.05189,0.000141283,0.000141283,0.000141283
76,257.724,0.46549,0.54928,0.87515,0.85174,0.34175,0.30063,0.24886,0.62868,2.72886,1.05189,0.000137891,0.000137891,0.000137891
77,261.124,0.45792,0.60234,0.89467,0.85174,0.34175,0.30063,0.24886,0.62868,2.72886,1.05189,0.000134358,0.000134358,0.000134358
78,264.199,0.71135,0.8513,1.12061,0.58484,0.39707,0.28196,0.23069,0.64,2.59256,1.03959,0.000130683,0.000130683,0.000130683
79,266.875,0.465,0.56131,0.91325,0.58484,0.39707,0.28196,0.23069,0.64,2.59256,1.03959,0.000126866,0.000126866,0.000126866
80,269.555,0.54414,0.70349,0.96958,0.58484,0.39707,0.28196,0.23069,0.64,2.59256,1.03959,0.000122909,0.000122909,0.000122909
81,272.92,0.46262,0.55847,0.92715,0.56518,0.38294,0.34542,0.27462,0.6245,2.64644,1.01293,0.00011881,0.00011881,0.00011881
82,276.254,0.43156,0.67889,0.92259,0.56518,0.38294,0.34542,0.27462,0.6245,2.64644,1.01293,0.000114569,0.000114569,0.000114569
83,279.67,0.57923,0.83665,1.00195,0.56518,0.38294,0.34542,0.27462,0.6245,2.64644,1.01293,0.000110187,0.000110187,0.000110187
84,283.097,0.38933,0.57616,0.92892,0.56815,0.37918,0.33433,0.29574,0.59673,2.71924,1.00668,0.000105664,0.000105664,0.000105664
85,286.53,0.39643,0.5178,0.86627,0.56815,0.37918,0.33433,0.29574,0.59673,2.71924,1.00668,0.000101,0.000101,0.000101
86,289.887,0.41434,0.56457,0.89159,0.56815,0.37918,0.33433,0.29574,0.59673,2.71924,1.00668,9.61937e-05,9.61937e-05,9.61937e-05
87,293.298,0.43212,0.55971,0.89818,0.56815,0.37918,0.33433,0.29574,0.59673,2.71924,1.00668,9.12463e-05,9.12463e-05,9.12463e-05
88,296.932,0.42495,0.5961,0.91701,0.56429,0.36534,0.34222,0.3022,0.55802,2.82903,0.98914,8.61577e-05,8.61577e-05,8.61577e-05
89,300.26,0.37597,0.67481,0.85578,0.56429,0.36534,0.34222,0.3022,0.55802,2.82903,0.98914,8.09276e-05,8.09276e-05,8.09276e-05
90,303.737,0.59847,1.24255,1.06979,0.56429,0.36534,0.34222,0.3022,0.55802,2.82903,0.98914,7.55562e-05,7.55562e-05,7.55562e-05
91,312.335,0.34619,0.62547,0.84469,0.56429,0.36534,0.34222,0.3022,0.55802,2.82903,0.98914,7.00434e-05,7.00434e-05,7.00434e-05
92,316.261,0.32158,0.62167,0.89056,0.57495,0.3,0.31319,0.26815,0.53115,2.86656,0.98497,6.43892e-05,6.43892e-05,6.43892e-05
93,320.173,0.33061,0.60157,0.89881,0.57495,0.3,0.31319,0.26815,0.53115,2.86656,0.98497,5.85937e-05,5.85937e-05,5.85937e-05
94,323.759,0.33733,0.65324,0.86842,0.57495,0.3,0.31319,0.26815,0.53115,2.86656,0.98497,5.26568e-05,5.26568e-05,5.26568e-05
95,327.379,0.29059,0.56818,0.8155,0.57495,0.3,0.31319,0.26815,0.53115,2.86656,0.98497,4.65785e-05,4.65785e-05,4.65785e-05
96,330.929,0.34624,0.65886,0.81952,0.57648,0.3,0.35882,0.30699,0.51078,2.84196,0.97791,4.03589e-05,4.03589e-05,4.03589e-05
97,334.35,0.39663,0.73983,0.9837,0.57648,0.3,0.35882,0.30699,0.51078,2.84196,0.97791,3.39978e-05,3.39978e-05,3.39978e-05
98,337.886,0.3356,0.53578,0.83424,0.57648,0.3,0.35882,0.30699,0.51078,2.84196,0.97791,2.74954e-05,2.74954e-05,2.74954e-05
99,341.539,0.31123,0.56118,0.84766,0.57648,0.3,0.35882,0.30699,0.51078,2.84196,0.97791,2.08517e-05,2.08517e-05,2.08517e-05
100,345.109,0.26439,0.48603,0.83179,0.60039,0.37048,0.37633,0.32109,0.49887,2.88899,0.96606,1.40665e-05,1.40665e-05,1.40665e-05
